,,,,
,,,,
,,,,
AODF IP,Port,Port Comment,Reel,Reel Comment
144.136.91.34,1,1/3/7 - 1,1,1/3/7 - 2
144.136.91.34,2,1/3/7 - 3,2,1/3/7 - 4
144.136.91.34,3,1/3/7 - 5,3,1/3/7 - 6
144.136.91.34,4,1/3/7 - 7,4,1/3/7 - 8
144.136.91.34,5,1/3/7 - 9,5,1/3/7 - 10
144.136.91.34,6,1/3/7 - 11,6,1/3/7 - 12
144.136.91.34,7,1/3/7 - 13,7,1/3/7 - 14
144.136.91.34,8,1/3/7 - 15,8,1/3/7 - 16
144.136.91.34,9,1/3/7 - 17,9,1/3/7 - 18
144.136.91.34,10,1/3/7 - 19,10,1/3/7 - 20
144.136.91.34,11,1/3/7 - 21,11,1/3/7 - 22
144.136.91.34,12,1/3/7 - 23,12,1/3/7 - 24
144.136.91.34,13,1/3/7 - 25,13,1/3/7 - 26
144.136.91.34,14,1/3/7 - 27,14,1/3/7 - 28
144.136.91.34,15,1/3/7 - 29,15,1/3/7 - 30
144.136.91.34,16,1/3/7 - 31,16,1/3/7 - 32
144.136.91.34,17,1/3/7 - 33,17,1/3/7 - 34
144.136.91.34,18,1/3/7 - 35,18,1/3/7 - 36
144.136.91.34,19,1/3/8 - 1,19,1/3/8 - 2
144.136.91.34,20,1/3/8 - 3,20,1/3/8 - 4
144.136.91.34,21,1/3/8 - 5,21,1/3/8 - 6
144.136.91.34,22,1/3/8 - 7,22,1/3/8 - 8
144.136.91.34,23,1/3/8 - 9,23,1/3/8 - 10
144.136.91.34,24,1/3/8 - 11,24,1/3/8 - 12
144.136.91.34,25,1/3/8 - 13,25,1/3/8 - 14
144.136.91.34,26,1/3/8 - 15,26,1/3/8 - 16
144.136.91.34,27,1/3/8 - 17,27,1/3/8 - 18
144.136.91.34,28,1/3/8 - 19,28,1/3/8 - 20
144.136.91.34,29,1/3/8 - 21,29,1/3/8 - 22
144.136.91.34,30,1/3/8 - 23,30,1/3/8 - 24
144.136.91.34,31,1/3/8 - 25,31,1/3/8 - 26
144.136.91.34,32,1/3/8 - 27,32,1/3/8 - 28
144.136.91.34,33,1/3/8 - 29,33,1/3/8 - 30
144.136.91.34,34,1/3/8 - 31,34,1/3/8 - 32
144.136.91.34,35,1/3/8 - 33,35,1/3/8 - 34
144.136.91.34,36,1/3/8 - 35,36,1/3/8 - 36
144.136.91.34,37,GD/202/5 - 1,37,GD/202/5 - 2
144.136.91.34,38,GD/202/5 - 3,38,GD/202/5 - 4
144.136.91.34,39,GD/202/5 - 5,39,GD/202/5 - 6
144.136.91.34,40,GD/202/5 - 7,40,GD/202/5 - 8
144.136.91.34,41,GD/202/5 - 9,41,GD/202/5 - 10
144.136.91.34,42,GD/202/5 - 11,42,GD/202/5 - 12
144.136.91.34,43,GD/202/5 - 13,43,GD/202/5 - 14
144.136.91.34,44,GD/202/5 - 15,44,GD/202/5 - 16
144.136.91.34,45,GD/202/5 - 17,45,GD/202/5 - 18
